reach,river,stratum,fim_huc8,sword_channel_mmkm,hydrofab_base_mmkm,hfirissword_new_mmkm,swot_median_mmkm,swot_floodstage_mmkm,swot_maxwse_mmkm,gauge_median_mmkm,k_hfirissword_new,k_swot_median,k_swot_floodstage,k_swot_maxwse,k_gauge_median,hydrofab_bias_pct,swot_n,swot_cv,dyn_class,rho_slope_stage,floodstage_over_median,maxwse_over_median
75120400053,Neches River,coastal-plain,12020003,0.0,106.5,212.6,40.1,56.4,57.0,,1.412,0.613,0.727,0.731,,166.0,42,0.835,kinematic,0.397,1.407,1.423
75120400151,Neches River,coastal-plain,12020003,218.3,120.8,116.5,63.2,72.6,110.7,,0.982,0.723,0.775,0.957,,91.1,31,0.301,kinematic,0.633,1.149,1.751
75120500091,Sabine River,coastal-plain,12010005,309.2,4941.0,0.0,189.1,188.7,156.7,,0.0,0.196,0.195,0.178,,2512.6,35,0.099,kinematic,0.381,0.998,0.829
75161000091,Brazos River,coastal-plain,12070101,9.8,,106.8,97.4,151.4,173.4,,,,,,,,19,0.292,kinematic,0.749,1.554,1.781
75120400091,Neches River,coastal-plain,12020003,229.4,5685.5,153.2,165.5,167.6,165.2,,0.164,0.171,0.172,0.17,,3334.7,26,0.043,kinematic,0.499,1.012,0.998
74295100321,Little Sioux River,upland,10230006,221.7,,150.4,150.3,147.6,167.1,,,,,,,,26,0.036,kinematic,0.634,0.982,1.112
74252300041,White River,upland,08020301,178.9,54.9,86.6,42.9,44.9,70.6,,1.256,0.884,0.904,1.134,,28.0,47,0.293,stable,-0.052,1.047,1.647
74252300111,White River,upland,08020301,203.6,348.1,53.6,59.8,61.2,61.2,,0.392,0.414,0.419,0.419,,482.4,57,0.134,stable,0.26,1.024,1.024
74295200071,Big Sioux River,upland,10170203,267.1,259.9,260.6,272.7,247.2,262.7,,1.001,1.024,0.975,1.005,,-4.7,34,0.054,stable,0.107,0.907,0.963
74295200111,Big Sioux River,upland,10170203,459.8,305.4,253.6,307.6,307.0,298.7,247.2,0.911,1.003,1.003,0.989,0.9,-0.7,38,0.059,backwater,-0.41,0.998,0.971
74282100101,Illinois River,interior-plain,07130011,1.3,196.5,19.4,10.3,22.2,33.9,19.7,0.314,0.229,0.336,0.416,0.317,1813.7,34,0.75,kinematic,0.743,2.158,3.307
71226500221,Red River of the North,interior-plain,09020311,0.0,,21.3,186.5,94.7,66.2,,,,,,,,23,0.922,kinematic,0.528,0.508,0.355
74241500041,Arkansas River,interior-plain,11110203,91.7,87.1,,50.5,123.7,128.9,,,0.762,1.192,1.216,,72.3,24,0.811,kinematic,0.983,2.449,2.55
74270100061,Mississippi River,interior-plain,07140105,94.2,131.7,119.3,124.5,124.5,127.7,,0.952,0.972,0.972,0.985,,5.8,71,0.124,backwater,-0.503,1.0,1.026
74282100111,Illinois River,interior-plain,07130011,21.3,414.2,23.7,14.4,23.2,38.1,,0.239,0.186,0.237,0.303,,2781.9,26,0.661,kinematic,0.476,1.614,2.654
74267300251,Ohio R Us Of Mcalpine Da,gauge-median,5140101,,909.2,35.7,1054.7,755.9,250.3,2371.5,0.198,1.077,0.912,0.525,1.615,-13.8,179,0.2,backwater,-0.779,0.717,0.237
74295200111,Big Sioux River,gauge-median,10170203,,305.4,253.6,307.6,307.0,298.7,247.2,0.911,1.003,1.003,0.989,0.9,-0.7,38,0.059,backwater,-0.41,0.998,0.971
75161000081,"Brazos Rv Nr Rosharon, T",gauge-median,12070104,,,160.9,124.4,135.3,147.2,187.6,,,,,,,36,0.181,kinematic,0.543,1.088,1.184
78310800191,Skagit River,gauge-median,17110005,,3015.0,2661.6,2732.5,3342.7,4236.1,2715.5,0.94,0.952,1.053,1.185,0.949,10.3,220,0.13,kinematic,0.816,1.223,1.55
78310800071,Skagit River,gauge-median,17110007,,,974.8,877.5,988.2,968.1,958.1,,,,,,,230,0.065,kinematic,0.62,1.126,1.103
